932	932	996
932	932	996
928	932	996
928	932	1000
932	932	996
932	928	996
932	932	996
928	932	992
932	932	996
932	928	1000
928	932	996
928	932	996
928	928	1000
932	928	996
932	928	996
932	928	996
932	932	996
936	932	996
928	928	1000
932	932	996
932	932	996
932	932	996
932	932	1000
932	932	1000
928	932	996
932	932	996
932	932	996
928	932	1000
932	928	996
928	928	1000
932	932	996
932	928	996
932	932	1000
928	928	992
932	928	996
932	928	996
932	932	996
932	932	1000
928	932	996
928	928	996
932	928	1000
932	932	996
928	932	1000
932	932	1000
932	928	1000
932	932	996
932	932	996
928	932	996
932	932	1000
932	928	1000
932	928	996
932	932	1000
932	932	992
932	932	1000
932	928	996
928	932	996
928	932	992
932	928	1000
928	928	1000
928	928	996
932	932	996
932	932	996
932	932	996
928	928	1000
932	932	996
932	932	1000
932	932	996
932	932	996
932	932	1000
928	932	996
932	932	996
932	932	996
932	932	996
928	932	996
928	932	1000
932	932	996
932	928	996
932	932	996
928	932	992
932	928	996
932	928	996
928	932	996
932	932	996
928	932	1000
928	928	996
932	928	1000
932	928	996
928	932	1000
932	932	996
932	932	1000
932	932	1000
932	932	996
932	932	996
932	932	1004
932	928	1000
932	928	996
932	932	1000
932	932	992
932	932	996
932	928	1000
928	932	996
928	932	992
932	928	996
928	928	996
932	928	996
932	928	996
932	932	996
936	932	996
928	928	1000
932	932	996
932	928	996
932	932	1000
932	932	1000
932	932	1000
932	932	1000
932	932	996
932	932	996
932	932	1000
928	932	1000
928	932	1000
932	928	996
932	924	1000
932	932	1000
928	932	992
932	928	996
936	928	996
928	932	996
928	932	996
928	932	996
932	928	996
932	928	1000
932	932	996
928	932	996
932	932	1000
932	928	1000
932	932	996
932	932	996
932	932	996
932	932	996
932	928	996
932	928	996
932	932	996
932	932	992
928	932	1000
932	928	1000
928	932	996
932	932	996
932	928	996
928	932	1000
928	928	1000
932	928	996
932	932	996
936	932	996
928	928	1000
932	932	1000
932	932	996
932	932	1000
932	932	996
932	932	1000
932	932	1000
932	928	996
932	932	996
932	932	1000
928	932	1000
928	932	1000
932	932	996
932	928	996
932	932	1000
928	932	992
932	932	996
932	928	996
928	932	996
928	932	996
928	932	996
928	928	996
932	928	1004
932	932	996
932	932	1004
932	932	1000
932	932	1000
932	932	1000
932	932	1000
932	932	996
932	932	1000
932	928	996
932	928	996
932	932	996
932	932	992
932	932	996
932	928	1000
928	932	1000
932	932	996
932	928	1000
932	928	1000
928	928	996
932	928	996
932	928	996
932	932	996
928	932	1000
928	936	996
932	928	996
932	932	1000
932	932	996
932	932	996
932	932	1000
932	932	1000
932	928	996
932	932	1000
928	932	1000
928	928	1000
932	932	996
932	924	996
932	932	1000
928	932	992
932	932	996
932	928	996
928	932	996
928	932	996
928	932	1000
928	928	996
932	928	1000
932	928	996
928	932	996
932	932	1000
932	928	1000
932	932	996
932	932	996
932	932	996
932	932	1000
932	928	1000
932	928	1000
936	932	996
932	932	992
932	936	1000
928	928	996
928	928	1000
932	932	996
932	928	1000
932	928	1000
928	928	992
932	928	996
932	932	996
932	932	996
928	932	1000
928	932	996
932	928	996
932	932	1000
932	932	1000
928	932	996
932	932	1000
932	932	1000
932	928	996
932	932	996
928	932	996
932	932	1000
932	928	996
932	928	996
932	932	996
932	932	992
932	932	996
932	928	996
928	932	1000
932	932	996
928	932	1000
928	928	996
932	928	1000
932	928	996
928	932	996
932	932	1000
932	928	1000
932	932	996
932	932	996
932	932	996
932	932	1000
932	928	1000
932	928	1000
932	932	996
932	932	996
932	932	1000
932	928	1000
928	932	1000
932	932	996
932	924	996
932	928	1000
928	932	996
932	928	996
932	932	996
932	932	996
928	928	1000
928	932	1004
932	928	996
932	932	1000
932	932	996
932	932	1000
932	932	1000
932	932	996
932	932	996
932	932	996
928	932	996
928	932	1000
932	928	1000
932	928	996
932	932	1000
928	932	992
932	932	1000
932	928	996
928	932	996
928	932	996
928	928	996
928	928	996
932	928	1000
932	928	996
932	932	996
936	932	996
928	928	1000
932	932	996
932	932	996
932	932	1000
932	932	996
932	928	1000
932	932	996
932	932	996
932	932	996
932	932	1000
932	932	996
928	932	1000
932	932	996
932	928	996
932	932	1000
928	932	992
932	928	996
932	928	996
932	932	996
928	932	996
928	932	1000
928	928	996
932	932	1000
932	932	996
932	932	1000
932	932	1000
932	932	1000
932	932	996
932	932	1000
928	932	996
928	932	1000
932	928	1004
932	928	996
932	932	996
928	932	992
932	932	996
932	928	996
928	932	996
928	932	996
928	928	996
932	928	996
932	928	996
932	928	996
932	932	996
936	932	996
928	928	1000
932	932	1000
932	932	996
932	932	1000
932	932	1000
932	928	1000
928	932	996
932	932	996
932	932	996
928	932	1000
932	928	1000
928	928	1000
932	932	992
932	928	996
932	932	1004
928	928	992
932	928	996
932	928	996
932	932	996
928	932	996
928	932	1000
928	928	996
932	928	1000
932	932	996
928	932	1000
932	932	996
932	928	1000
932	932	996
932	932	996
928	932	996
932	932	1000
932	928	1000
932	928	996
932	932	996
932	932	992
932	932	1000
932	928	1000
928	932	996
932	932	996
932	928	1000
928	928	1000
928	928	1000
932	932	1000
932	932	996
936	932	996
928	932	1000
932	932	996
932	932	996
932	932	1000
932	932	996
932	932	996
928	932	996
932	932	996
932	932	996
932	932	1000
928	932	1000
928	932	1000
932	932	996
932	928	996
932	932	1000
928	932	992
932	928	996
932	928	996
932	932	996
932	932	996
928	932	996
928	928	996
932	928	1000
932	928	996
928	932	996
932	932	1004
932	932	1000
932	928	1000
932	932	996
932	932	996
932	932	1000
932	928	1000
932	928	996
936	932	996
932	932	992
932	932	996
932	928	1000
928	932	996
932	932	996
932	928	996
928	928	996
928	928	996
932	928	996
932	932	996
936	932	996
928	928	1000
932	932	996
932	928	996
932	932	1000
932	932	1000
932	932	1000
932	932	1000
932	928	996
932	932	1000
932	932	996
928	932	996
928	932	1000
932	928	996
932	924	996
932	932	1000
928	932	992
932	928	996
936	928	996
928	932	996
928	932	996
928	932	1000
932	928	996
932	928	1000
932	932	996
928	932	996
932	932	1000
932	928	1000
932	932	996
932	932	996
932	932	996
932	932	1000
932	928	996
932	928	996
932	932	996
932	932	992
932	932	996
932	928	1004
928	932	996
932	932	996
932	928	1000
928	932	996
928	928	996
932	928	996
932	932	996
936	932	992
928	928	1000
928	932	996
932	932	996
932	932	1000
932	932	996
932	932	1000
932	932	1000
932	932	996
932	932	996
932	932	1000
928	932	996
928	932	1000
932	932	996
932	928	996
932	932	1000
928	932	992
932	932	996
932	928	996
928	932	996
928	932	1000
928	932	1000
932	928	996
932	928	1004
932	932	996
932	932	996
932	932	1000
932	932	1000
932	932	996
932	932	996
932	932	996
932	932	996
932	928	996
932	928	1000
932	932	996
932	932	996
932	932	1000
932	928	996
928	932	996
932	932	996
928	928	996
928	928	1000
928	928	996
932	928	996
932	932	996
932	932	996
928	932	1000
932	936	996
932	928	1000
932	932	996
932	932	1000
932	932	1000
928	932	1000
932	932	996
932	928	996
932	932	1000
928	932	1000
928	928	1000
932	932	996
932	924	996
932	932	1000
928	932	992
932	932	996
932	928	996
928	932	996
928	932	996
928	932	1000
928	928	996
932	928	1000
932	928	996
928	932	996
932	932	1000
932	928	1000
932	932	996
932	932	996
932	932	996
932	932	1004
932	928	996
932	928	1000
936	932	996
932	932	992
932	936	1000
928	928	1000
928	928	1000
932	932	996
932	924	1000
928	928	1000
928	928	996
932	928	996
932	928	992
932	932	996
928	932	1000
928	936	996
932	928	996
932	932	1000
932	932	1000
928	932	1000
932	932	1000
932	928	1000
932	928	996
932	932	1000
928	932	1000
932	928	1000
932	928	996
932	928	1000
932	932	996
932	932	992
932	932	996
932	928	996
928	932	996
932	932	996
928	932	996
928	928	996
932	928	1000
932	928	996
928	932	996
932	932	1000
932	928	1000
932	932	1000
932	932	1000
932	932	996
932	932	1000
932	928	1000
932	932	1000
932	932	996
936	932	996
932	932	1000
932	928	1000
928	932	1000
932	932	996
932	924	996
932	928	996
928	932	1000
932	928	996
932	932	996
932	932	996
928	928	1000
928	932	1000
932	928	996
932	932	1000
932	932	996
932	932	1000
932	932	1000
932	932	996
932	932	996
932	932	1000
928	932	996
928	932	1000
932	928	1000
932	928	996
932	932	1000
928	932	992
932	932	1000
932	928	996
928	932	996
928	932	996
928	928	996
928	928	1000
932	928	1000
932	928	996
932	932	1000
936	932	996
928	928	1000
932	932	1000
932	932	996
932	932	1000
932	932	1000
932	928	1000
932	932	996
932	932	996
932	932	996
932	932	996
932	932	1000
928	932	1000
932	932	996
932	928	996
932	932	1000
928	932	992
932	928	996
932	928	996
932	932	996
928	932	996
928	932	996
928	928	996
932	932	1000
932	932	996
928	932	1000
932	932	1000
932	932	1004
932	932	996
932	932	996
928	932	996
928	932	1000
932	928	1000
932	928	996
932	932	996
928	932	992
932	932	996
932	928	996
928	932	996
928	932	996
928	928	1000
932	928	1000
932	928	1000
932	928	996
928	932	996
936	932	996
928	928	1000
932	932	996
932	932	996
932	932	996
932	932	1000
932	932	1000
928	932	996
932	932	996
932	932	996
928	932	1004
932	928	996
928	928	1000
932	932	996
932	928	1000
932	932	1000
928	928	992
932	928	996
932	928	996
932	932	996
932	932	996
928	932	996
928	928	996
936	928	1000
932	932	996
928	932	1000
932	932	996
932	932	1000
932	932	996
932	932	996
928	932	996
932	932	1000
932	928	1000
932	928	996
932	932	1000
932	932	992
932	932	1000
932	928	1000
928	932	1000
928	932	996
932	928	1000
928	928	1000
932	928	1000
932	932	996
932	932	996
932	932	996
928	928	1000
932	932	996
932	932	996
932	932	1000
932	932	996
932	932	996
928	932	1000
932	932	996
932	932	996
932	932	1000
928	932	1000
928	932	1000
932	932	996
932	928	996
932	932	1000
928	932	996
932	928	996
932	928	996
932	932	996
932	932	996
928	932	1004
928	928	996
932	928	1004
932	928	996
928	932	1000
932	932	1000
932	932	1000
932	932	996
932	932	996
932	932	996
932	932	1000
932	928	1000
932	928	996
932	932	1000
932	932	992
932	932	996
932	928	1000
928	932	996
932	932	996
932	928	996
928	928	996
928	928	996
932	928	996
932	932	996
936	932	996
928	928	1000
932	932	996
932	928	996
932	932	1004
932	932	996
932	932	1000
932	932	1000
932	932	996
932	932	996
932	932	1000
928	932	1000
928	928	1000
932	928	996
932	924	996
932	932	1000
928	932	992
932	928	996
932	928	996
928	932	996
928	932	996
928	932	1000
932	928	996
932	928	1000
932	932	996
928	932	996
932	932	1000
932	928	1000
932	932	996
932	932	996
932	932	996
932	932	1000
932	928	1004
932	928	996
932	932	996
932	932	992
928	932	1000
932	928	1000
928	932	996
932	932	996
932	928	1000
928	932	996
928	928	996
932	928	996
932	932	996
936	932	996
928	928	1000
932	932	1000
932	932	996
932	932	1000
932	932	996
932	932	996
932	928	1000
932	928	996
932	932	996
932	932	1000
928	932	1000
928	932	1000
932	932	996
932	928	996
932	932	1004
928	932	992
932	932	996
932	928	1000
928	932	996
928	932	996
928	932	1000
932	928	996
932	928	1000
932	932	996
928	932	1000
932	932	1000
932	932	1000
932	932	996
932	932	1000
932	932	996
932	932	1000
932	928	996
932	928	1000
932	932	1000
932	932	996
932	932	996
932	928	1000
928	932	996
932	932	996
932	928	1000
932	928	1000
928	928	996
932	928	1000
932	932	996
932	932	996
928	932	1000
928	936	1000
932	928	996
932	932	1000
932	932	1000
932	932	996
928	932	1000
932	932	996
932	928	996
932	932	1000
928	932	1000
928	928	1000
932	932	1000
932	928	1000
932	932	1000
928	932	992
932	932	996
932	928	996
928	932	996
928	932	996
928	932	1000
928	928	996
932	928	1000
932	928	996
928	932	996
932	932	1004
932	928	1000
932	932	1000
932	932	996
932	932	996
932	932	1000
928	928	1000
932	928	996
936	932	996
932	932	992
932	932	996
928	928	1000
928	932	1000
932	932	996
932	928	1000
932	928	1000
928	928	996
932	928	996
932	928	996
932	932	996
928	932	1000
928	932	996
932	928	996
932	932	1000
932	932	996
928	932	1000
932	932	1000
932	932	1000
932	928	1000
932	932	996
928	932	1000
932	928	1000
932	928	996
932	928	996
932	932	996
932	932	992
932	932	996
932	928	996
928	932	996
932	932	996
928	932	996
928	928	996
932	928	1000
932	928	996
928	932	996
932	932	1000
932	928	1000
932	932	996
932	932	996
932	932	996
932	932	1000
932	928	1000
932	928	996
932	932	996
932	932	996
932	932	1000
932	932	1004
928	932	996
932	932	996
932	928	996
932	928	1000
928	932	996
932	928	996
932	932	996
932	932	996
928	928	996
928	932	996
932	928	996
932	932	1000
932	932	996
932	932	1000
932	932	1000
932	932	1000
932	932	996
932	932	1000
928	932	1000
928	932	1000
932	928	1000
932	928	996
932	932	1000
928	932	992
932	932	1000
932	928	996
928	932	996
928	932	1000
928	928	1000
928	928	1000
932	928	1000
932	928	996
932	932	996
936	932	996
928	928	1000
932	932	996
932	932	996
932	932	996
932	932	996
932	928	1000
932	932	996
932	932	996
932	932	996
932	932	1000
932	932	1000
928	932	1000
932	932	996
932	928	996
932	932	1000
928	932	992
932	928	996
932	928	996
932	932	996
928	932	996
928	932	1000
928	928	1000
932	932	1000
932	932	996
928	932	1000
932	932	1000
932	928	1000
932	932	996
932	932	996
932	932	996
928	932	1000
932	928	996
932	928	996
936	932	996
928	932	992
932	932	996
932	928	996
928	932	1000
928	932	996
928	928	1000
932	928	996
932	928	1000
932	928	996
932	932	996
936	932	1000
928	928	1000
932	932	996
932	932	996
932	932	996
932	932	1004
932	928	996
928	932	1000
932	932	996
932	932	996
932	932	1000
932	928	1000
928	928	1000
932	932	992
932	928	996
932	932	1000
928	928	992
932	928	996
932	928	996
932	932	996
928	932	1000
928	932	996
928	928	996
932	928	1000
932	932	996
928	932	1000
932	932	996
932	928	1000
932	932	996
932	932	996
932	932	996
932	932	1000
932	928	1000
932	928	1000
932	932	996
932	932	992
932	932	996
932	928	1000
928	932	996
928	932	992
932	928	1000
928	928	1000
928	928	1000
932	932	996
928	932	996
936	932	996
928	932	1000
932	932	1000
932	928	996
932	932	1000
932	932	996
932	932	996
932	932	996
932	932	996
932	932	996
932	932	996
928	932	1000
928	932	1000
932	932	996
932	928	996
932	932	1000
928	928	996
932	928	996
932	928	996
928	932	996
932	932	996
928	932	1000
928	928	996
932	928	1000
932	928	996
928	932	996
932	932	1000
932	932	1000
932	928	1000
932	932	996
932	932	996
932	932	1000
932	928	1000
932	928	996
936	932	1000
932	932	992
932	932	996
932	928	1000
928	932	996
932	932	996
932	928	996
928	928	1000
928	928	996
932	928	996
932	932	1000
936	932	996
928	928	1000
932	932	996
932	928	996
932	932	996
932	932	1000
932	932	996
932	932	1000
932	928	996
932	932	996
932	932	1000
928	932	1000
928	928	1000
932	928	996
932	924	996
932	932	1000
928	932	992
932	928	996
936	928	996
928	932	996
928	932	1000
928	932	1000
932	928	996
932	928	1000
932	932	996
928	932	996
932	932	1000
932	928	1004
932	932	996
932	932	996
932	932	996
932	932	1000
932	928	1000
